node1,node2,timestamp
1,88,1
57,76,2
24,39,3
2,59,4
33,42,5
3,84,6
32,66,7
64,68,8
18,57,9
13,53,10
57,86,11
18,57,11
59,89,12
59,86,12
59,94,12
59,85,12
48,59,12
56,59,12
59,84,12
59,68,12
59,88,12
2,59,12
59,69,12
59,76,12
47,59,12
48,59,12
29,42,13
3,35,14
23,104,15
30,83,16
1,38,17
26,32,18
32,66,18
27,62,19
15,17,20
42,43,21
48,90,22
13,14,23
38,72,24
38,69,24
38,56,24
9,38,24
38,68,24
1,38,24
76,123,25
106,117,26
71,106,26
5,11,27
47,48,28
26,45,29
29,39,30
1,16,31
25,31,32
7,29,33
53,70,34
3,8,35
9,17,36
13,14,37
13,27,38
9,68,39
95,98,40
70,112,41
84,85,42
4,13,43
36,70,44
3,4,45
19,57,46
18,107,47
9,65,48
9,77,49
15,32,50
11,25,51
11,31,51
58,83,52
12,96,53
18,57,54
59,94,55
2,94,55
9,94,55
65,94,55
50,82,56
50,75,56
49,50,56
50,86,56
53,76,57
24,60,58
61,117,59
15,161,60
50,75,61
3,66,62
23,86,63
35,100,64
38,144,65
68,69,66
24,25,67
66,80,68
57,86,69
68,90,70
6,43,71
40,69,72
3,35,73
1,6,74
6,7,74
50,86,75
88,94,76
66,80,77
5,11,78
5,11,79
45,59,80
13,14,81
8,30,82
2,6,83
15,66,84
93,95,85
18,88,86
88,89,86
4,13,87
13,106,87
1,33,88
7,33,88
34,68,89
32,51,90
3,47,91
3,13,92
17,56,93
57,76,94
53,76,95
69,76,96
15,56,97
4,57,98
24,51,99
50,86,100
4,29,101
84,86,102
26,86,103
58,106,104
73,94,105
18,99,106
48,68,107
53,122,108
3,35,109
13,35,110
61,96,111
23,45,112
13,40,113
18,75,114
19,75,114
75,76,114
72,73,115
68,90,116
48,50,117
4,65,118
13,14,119
53,75,120
26,86,121
3,27,122
53,70,123
27,54,124
83,113,125
39,54,126
65,79,127
40,68,128
93,101,129
66,67,130
22,29,131
3,8,132
65,94,133
15,88,134
3,53,135
3,51,135
3,50,135
3,52,135
3,18,135
3,4,135
3,20,135
19,91,136
19,67,136
7,19,136
1,19,136
17,19,136
18,19,136
19,38,136
19,66,136
9,19,136
19,90,136
4,58,137
48,50,138
42,43,139
61,96,140
12,96,140
15,96,140
4,53,141
23,34,142
13,14,143
40,76,144
3,40,145
4,76,146
64,80,147
19,89,148
32,83,149
76,81,150
15,96,151
48,50,152
47,50,152
69,76,153
69,84,153
69,86,153
3,4,154
39,50,155
8,13,156
62,68,157
5,73,158
3,66,159
3,13,159
7,22,160
108,111,161
12,96,162
13,65,163
10,21,164
5,33,165
3,8,166
15,96,167
17,56,168
13,76,169
61,96,170
3,13,171
16,50,172
13,14,173
59,67,174
59,72,174
2,56,175
68,94,176
13,58,177
13,106,177
13,35,177
3,13,178
69,76,179
40,76,180
40,86,181
27,86,181
86,101,181
19,86,181
86,93,181
7,10,182
13,14,183
33,54,184
29,54,185
50,121,186
103,105,187
106,117,188
56,96,189
57,76,190
104,109,191
69,76,192
9,112,193
13,14,194
3,4,195
15,96,196
61,96,196
53,70,197
50,75,198
3,4,199
4,76,200
21,90,201
71,73,202
19,90,203
5,56,204
29,39,205
27,50,206
15,24,207
1,8,208
1,15,208
1,65,208
1,14,208
1,16,208
1,12,208
1,17,208
1,11,208
1,10,208
1,3,208
1,9,208
1,4,208
1,6,208
1,2,208
1,13,208
1,5,208
1,7,208
59,86,209
48,59,209
2,59,209
59,85,209
59,76,209
47,59,209
59,84,209
59,94,209
59,69,209
56,59,209
59,68,209
59,88,209
59,89,209
9,67,210
9,66,210
3,8,211
5,11,212
53,70,213
47,50,214
53,75,215
38,149,216
50,75,217
84,115,218
23,34,219
3,51,220
68,94,221
56,88,222
20,62,223
3,51,224
18,104,225
4,13,226
13,17,226
13,35,226
3,13,226
15,27,227
67,80,228
86,94,229
14,112,230
47,56,231
3,67,232
94,95,233
4,76,234
76,81,235
22,39,236
53,75,237
67,115,238
18,40,239
13,18,239
18,47,239
18,81,239
13,35,240
48,68,241
47,68,241
94,95,242
50,76,243
3,66,244
9,66,245
25,31,246
65,74,247
3,85,248
3,37,249
15,54,250
27,66,251
25,27,251
26,27,251
3,27,251
15,27,251
27,31,251
27,62,251
42,100,252
57,86,253
68,77,254
5,71,255
71,73,255
15,71,255
71,72,255
68,85,256
57,139,257
5,71,258
14,77,259
14,22,260
9,14,261
106,121,262
54,96,263
57,76,264
3,20,265
6,106,266
46,69,267
46,129,267
46,101,267
46,93,267
27,46,267
53,70,268
21,75,269
61,96,270
19,93,271
4,69,272
24,25,273
2,74,273
7,20,274
70,88,275
47,48,276
24,39,277
37,68,278
21,86,279
59,76,280
2,59,280
59,94,280
59,83,280
59,88,280
48,59,280
59,68,280
47,59,280
56,59,280
32,59,280
59,69,280
59,85,280
59,86,280
59,89,280
5,54,281
48,50,282
13,14,283
1,12,284
1,12,285
50,75,286
50,53,287
66,77,288
13,14,289
13,14,290
15,54,291
13,14,292
4,13,293
3,4,293
4,35,293
39,62,294
13,47,295
40,75,296
40,82,296
40,86,296
14,77,297
45,115,298
42,43,299
43,45,299
43,79,299
86,93,300
86,93,300
29,50,301
48,68,302
5,72,303
72,117,303
72,74,303
15,72,303
72,73,303
71,72,303
12,72,303
15,72,304
3,69,305
69,81,305
27,69,305
84,94,306
84,101,307
15,96,308
35,50,309
59,74,310
59,74,310
3,17,311
13,14,312
32,45,313
43,79,314
59,146,315
67,115,316
15,39,317
9,66,318
9,67,318
62,98,319
13,14,320
9,67,321
14,94,322
65,94,322
14,59,323
3,13,324
69,88,325
2,45,326
3,68,327
86,142,328
18,99,329
4,70,330
18,50,331
8,50,331
35,50,331
50,51,331
50,53,331
3,77,332
18,99,333
18,107,333
18,55,333
18,108,333
52,86,334
9,15,335
36,38,336
13,14,337
15,56,338
29,80,339
90,115,340
5,11,341
6,8,342
50,75,343
69,80,344
3,42,345
31,63,346
17,19,347
37,38,348
36,38,348
1,38,348
5,11,349
21,76,350
21,86,351
10,68,352
45,60,353
1,73,354
4,106,355
13,14,356
50,75,357
13,14,358
76,81,359
9,42,360
24,26,361
3,24,361
8,24,361
24,66,361
21,88,362
1,6,363
43,44,364
33,58,365
4,13,366
3,35,367
5,71,368
15,71,368
40,47,369
67,80,370
31,80,370
18,80,370
59,67,371
59,69,371
17,54,372
40,53,373
50,84,374
40,121,375
39,120,376
112,123,377
45,51,378
48,69,379
13,14,380
3,13,381
50,84,382
67,115,383
39,81,384
14,59,385
53,86,386
15,83,387
9,77,388
9,17,388
21,84,389
94,123,390
48,68,391
7,20,392
65,94,393
14,94,393
21,47,394
53,70,395
35,53,395
63,151,396
103,105,397
34,83,398
56,82,399
6,106,400
1,90,401
1,41,402
13,66,403
3,9,404
48,94,405
84,94,405
85,94,405
88,94,405
56,94,405
76,94,405
68,94,405
47,94,405
86,94,405
69,94,405
3,117,406
54,61,407
15,54,407
69,76,408
52,103,409
21,75,410
3,8,411
68,90,412
71,72,413
72,74,413
72,73,413
14,94,414
13,17,415
3,4,416
65,94,417
13,27,418
29,75,419
3,52,420
3,20,421
9,94,422
65,94,422
14,94,422
38,44,423
3,8,424
13,35,425
13,106,425
4,13,426
10,21,427
50,86,428
19,94,429
93,94,429
18,94,429
89,94,429
55,94,429
33,94,429
94,107,429
46,94,429
2,94,429
56,94,429
94,98,429
79,94,429
94,133,429
29,94,429
94,123,429
94,106,429
94,95,429
94,100,429
94,112,429
21,94,429
10,94,429
6,94,429
20,94,429
65,94,429
94,104,429
58,94,429
22,94,429
87,94,429
23,94,429
94,109,429
73,94,429
94,118,429
38,56,430
30,45,431
18,44,432
9,77,433
66,77,433
34,46,434
71,72,435
5,71,436
35,51,437
8,51,437
3,51,437
32,83,438
1,38,439
57,107,440
6,106,441
22,94,442
32,80,443
44,80,443
26,80,443
80,100,443
66,80,443
3,52,444
3,35,444
3,20,444
3,53,444
3,50,444
3,13,444
3,8,444
3,51,444
3,18,444
17,56,445
3,13,446
76,94,447
86,94,447
88,94,447
56,94,447
68,94,447
69,94,447
47,94,447
94,123,447
85,94,447
48,94,447
54,56,447
13,14,448
54,96,449
21,98,450
9,67,451
13,14,452
13,14,453
6,106,454
3,68,455
69,84,456
3,9,457
3,67,457
3,17,457
3,66,457
44,80,458
24,83,459
3,40,460
44,67,461
9,104,462
53,70,463
54,56,464
44,80,465
103,105,466
21,86,467
25,26,468
14,77,468
3,18,469
18,108,469
18,107,469
5,33,470
86,94,471
13,14,472
13,14,473
17,18,474
17,69,474
17,50,474
13,14,475
9,65,476
93,101,477
50,76,478
9,66,479
15,33,480
35,106,481
3,13,482
7,13,482
50,86,483
81,86,483
3,85,484
58,73,485
14,90,486
14,65,487
9,65,487
50,75,488
50,75,489
3,66,490
14,117,491
3,8,492
5,71,493
13,14,494
13,14,495
19,57,496
21,86,497
7,14,498
3,35,499
26,81,500
1,38,501
5,74,502
50,86,503
58,117,504
58,59,504
58,94,504
2,58,504
61,83,505
15,36,506
65,94,507
43,95,508
15,61,509
59,74,510
50,77,511
3,13,512
3,13,513
3,66,514
13,117,515
43,63,516
9,66,517
9,67,517
20,42,518
20,28,519
59,94,520
2,59,520
56,81,521
54,56,522
64,69,523
24,90,524
3,26,525
3,66,525
3,52,525
8,47,526
5,71,527
3,17,528
33,54,529
53,86,530
13,14,531
14,44,532
65,95,533
4,76,534
71,117,535
5,71,535
71,73,535
71,72,535
15,71,535
15,27,536
2,59,537
80,90,538
6,106,539
47,94,540
50,86,541
19,75,542
13,14,543
53,70,544
10,29,545
5,11,546
2,59,547
8,13,548
13,14,549
3,8,550
3,20,551
21,33,552
27,77,553
50,76,554
79,95,555
23,46,556
92,116,557
65,92,557
9,92,557
50,86,558
56,96,559
15,54,560
76,84,561
74,104,562
84,90,563
3,77,564
13,14,565
13,14,566
29,39,567
47,48,568
24,45,569
8,40,570
14,68,571
44,68,572
46,93,573
21,89,574
27,66,575
15,17,576
26,45,577
13,14,578
3,53,579
50,75,580
15,17,581
15,17,581
58,117,582
58,104,582
58,59,582
2,58,582
4,13,583
3,17,584
1,38,585
19,84,586
42,43,587
45,85,588
15,88,589
35,58,590
17,54,591
45,70,592
13,14,593
14,73,594
26,66,595
69,86,596
69,76,596
69,84,596
69,84,596
3,27,597
5,71,598
50,86,599
30,32,600
4,20,601
79,88,602
50,86,603
55,57,604
61,96,605
50,86,606
22,38,607
42,63,608
65,95,609
71,73,610
50,84,611
46,58,612
66,77,613
63,83,614
59,67,615
18,107,616
15,61,617
9,13,618
58,106,619
13,14,620
3,13,621
39,50,622
59,74,623
3,8,624
1,95,625
6,98,626
4,53,627
40,76,628
3,24,629
3,67,630
3,68,630
3,35,630
3,85,630
3,17,630
3,13,630
3,69,630
3,40,630
3,8,630
3,4,630
3,66,630
21,70,631
71,72,632
72,73,632
50,76,633
10,75,634
82,89,635
65,112,636
70,88,637
14,45,638
3,4,639
32,39,640
32,51,641
13,18,642
56,71,643
66,83,644
66,67,645
66,77,646
79,89,647
69,89,647
54,73,648
26,27,649
72,74,650
58,117,651
14,31,652
13,14,652
2,94,653
7,14,654
24,83,655
84,101,656
3,13,657
56,96,658
40,69,659
59,95,660
86,117,661
68,94,662
33,42,663
53,84,664
21,70,665
21,89,665
21,75,665
10,21,665
7,21,665
13,14,666
13,14,667
53,70,668
4,53,668
15,96,669
5,88,670
19,101,671
15,54,672
15,50,673
27,67,674
2,69,675
83,100,676
39,62,677
47,101,678
26,32,679
27,69,680
69,76,680
9,64,681
17,56,682
5,71,683
71,72,683
71,73,683
15,71,683
50,82,684
18,57,685
50,76,686
88,94,687
12,61,688
3,4,689
27,87,690
13,14,691
45,66,692
50,86,693
84,86,694
69,86,694
75,86,694
50,76,695
32,149,696
95,104,697
79,104,697
3,20,697
26,32,698
29,54,699
50,86,700
3,50,700
42,43,701
13,14,702
13,14,703
15,56,704
42,95,705
32,83,706
3,13,707
22,149,708
19,37,709
1,19,709
50,101,710
50,84,710
33,34,711
1,96,712
15,27,713
84,115,714
52,103,715
26,32,716
19,75,717
66,77,718
104,141,719
3,20,720
5,88,721
3,8,722
9,64,723
9,94,724
64,80,725
48,55,726
4,40,727
4,86,727
3,35,728
70,75,729
3,27,730
50,101,731
65,94,732
14,77,733
3,66,734
3,42,734
3,20,734
2,74,735
57,84,736
15,30,737
24,34,738
32,77,739
12,96,740
18,111,741
111,112,741
13,14,742
2,59,743
13,14,744
7,14,745
9,66,746
9,67,746
3,4,747
4,86,748
40,86,748
19,86,748
84,86,749
69,84,749
76,84,749
5,117,750
95,123,751
69,84,752
65,92,753
9,92,753
92,116,753
25,31,754
3,52,755
17,48,756
17,50,756
95,98,757
22,95,757
18,85,758
1,70,759
1,16,760
40,76,761
99,108,762
69,86,763
65,94,764
15,54,765
5,83,766
1,68,767
38,68,767
36,38,768
69,84,769
9,65,770
48,68,771
13,65,772
10,21,773
21,88,773
21,89,773
7,21,773
21,75,773
12,74,774
12,72,774
50,75,775
67,115,776
56,88,777
66,67,778
27,76,779
13,35,780
4,13,780
5,71,781
65,94,782
14,94,782
17,54,783
84,94,784
39,50,785
13,14,786
18,101,787
4,86,788
69,70,789
70,76,789
2,59,790
59,94,790
27,38,791
8,13,792
3,13,793
18,107,794
2,59,795
7,10,796
15,17,797
3,42,798
84,89,799
79,89,799
32,44,800
6,106,801
56,88,802
23,58,803
103,105,804
9,77,805
48,68,806
66,77,807
13,14,808
10,94,809
11,31,810
1,15,811
1,14,811
1,68,811
1,69,811
1,65,811
1,9,811
1,11,811
1,17,811
1,5,811
1,3,811
1,90,811
64,80,812
1,75,813
48,53,814
65,94,815
40,75,816
53,70,817
25,26,818
3,8,819
3,53,820
3,35,820
3,4,820
3,18,820
3,51,820
3,52,820
3,20,820
3,8,820
3,13,820
3,50,820
38,144,821
3,17,822
3,72,822
3,85,822
3,68,822
3,40,822
3,8,822
3,4,822
3,67,822
3,69,822
3,66,822
4,101,823
40,73,824
15,83,825
86,142,826
61,96,827
70,75,827
29,58,828
53,76,829
40,76,830
13,14,831
84,148,832
57,84,833
3,50,834
50,84,834
1,12,835
3,4,836
59,67,837
58,106,838
106,117,838
73,106,838
53,84,839
95,98,840
2,58,841
22,29,842
3,67,843
13,14,844
57,84,845
19,84,845
18,26,846
32,51,847
59,94,848
9,90,849
53,70,850
20,30,851
17,30,851
3,30,851
13,30,851
56,94,852
18,48,853
48,81,853
42,64,854
42,44,854
3,9,855
53,70,856
49,70,857
2,56,858
2,88,858
2,48,858
2,67,858
2,69,858
2,46,858
2,86,858
2,47,858
2,85,858
2,68,858
2,89,858
13,14,859
7,8,860
65,94,861
48,85,862
66,77,863
3,20,864
59,67,865
42,43,866
3,4,867
3,8,867
3,13,867
13,35,868
21,88,869
88,94,870
4,20,871
59,80,872
47,50,873
64,65,874
1,15,875
40,86,876
69,86,877
76,94,878
32,80,879
9,66,880
76,123,881
79,123,881
76,123,881
88,94,882
50,75,883
50,75,884
13,14,885
47,50,886
122,140,887
47,50,888
5,11,889
13,14,890
19,84,891
66,115,892
103,105,893
50,86,894
18,104,895
57,104,895
69,84,896
43,63,897
3,39,898
23,51,899
76,94,900
88,94,900
86,94,900
69,94,900
56,94,900
94,123,900
68,94,900
85,94,900
48,94,900
47,94,900
17,48,901
17,50,901
50,53,902
45,68,903
33,54,904
53,70,905
9,94,906
13,14,907
53,84,908
1,16,909
6,40,910
40,106,910
47,68,911
7,104,912
4,53,913
7,18,914
18,43,914
18,58,914
13,18,914
